Which Indian state is known as the "Land of the Gods",Himachal Pradesh,Uttrakhand,Rajasthan,Maharashtra,3
Who is known as the "Father of the Indian Constitution",Mahatma Gandhi,Jawaharlal Nehru,Dr.B.R.Ambedkar,Sardar Vallabhbhai Patel,4
What is the currency of India?,Rupee,Taka,Rupiah,Bhat,2
What is the highest civilian award in India?,Padam Shri,Padma Bhushan,Bharat Ratna,Arjuna Award,4
Which Indian city is know as the "Pink City"?,Jaipur,Hyderabad,Chennai,Kolkata,2
What is the national animal of India?,Elephant,Tiger,Lion,Rhino,3
What is the highest peak in India?,Kanchenjunga,Mount Everest,Nanda Devi,Annapurna,2
Who is the current Prime Minister of India?,Rahul Gandhi,Narendra Modi,Manmohan Singh,Arvind Kejriwal,3
Which river is known as the "Sorrow of Bihar"?,Brahmaputra,Ganga,Yamuna,Kaveri,3
Which Indian sportperson has won the most Olympic medals,P.V. Sindhu,Abhinav Bindra,Mary Kom,Sushil Kumar,5
